scenario,phase,montage,rr_percent,Z_ohm,delta_Z_from_phase00_ohm,max_relative_residual
gabriel_blood,phase_04,tepc_3,53.0,28.90821750778308,0.027847166438558446,4.2672363070274674e-11
gabriel_blood,phase_04,tepc_4,53.0,60.45035005746661,0.7060725253619609,2.2786042476857955e-11
gabriel_blood,phase_04,tepc_5,53.0,65.23797667137312,1.4074705900659623,1.5632914961263026e-11
gabriel_blood,phase_04,tepc_6,53.0,11.208109117693123,0.18164340479403585,8.786811841118467e-12
gabriel_blood,phase_04,tepc_7,53.0,1.5575679055995368,0.03221897961170761,6.795194506477689e-12
gabriel_blood,phase_04,ttrkg,53.0,228.01375992347474,0.021557667875271136,1.5199402886610283e-10
lf_mean_myocardium,phase_04,tepc_2,53.0,108.63956541748432,0.06807301205328997,2.109618508602021e-11
lf_mean_myocardium,phase_04,tepc_3,53.0,34.55849727706467,0.009404426330569038,4.5543542788104e-11
lf_mean_myocardium,phase_04,tepc_4,53.0,70.79100345554406,0.2117218312729392,2.94133157754384e-11
lf_mean_myocardium,phase_04,tepc_5,53.0,75.8847940310166,0.486614947532118,3.240407435462216e-11
lf_mean_myocardium,phase_04,tepc_6,53.0,15.748855315352262,0.09125739109901687,1.3848725045164729e-11
lf_mean_myocardium,phase_04,tepc_7,53.0,2.5355921274991484,0.012271498121103619,1.46550404159231e-11
lf_mean_myocardium,phase_04,ttrkg,53.0,235.19189215706035,0.0041228206246728405,1.2718233025803807e-10
lf_mean_blood,phase_04,tepc_2,53.0,102.93236330808851,0.5702574464412891,2.7536146768581178e-11
lf_mean_blood,phase_04,tepc_3,53.0,33.45202171999823,0.018639488959408368,5.236782556124569e-11
lf_mean_blood,phase_04,tepc_4,53.0,64.14180736532899,0.7560843065005471,2.4062707198184365e-11
lf_mean_blood,phase_04,tepc_5,53.0,68.91797792024029,1.735178309110566,1.4170887121139127e-11
lf_mean_blood,phase_04,tepc_6,53.0,13.078656619877334,0.17284858672921288,1.3104674844765492e-11
lf_mean_blood,phase_04,tepc_7,53.0,1.9247972516051917,0.05053701063927729,7.462292817205512e-12
lf_mean_blood,phase_04,ttrkg,53.0,234.30899626722476,0.015659904618672726,1.2753231709673095e-10
gabriel_myocardium,phase_05,tepc_2,62.0,103.09419050357593,0.03859687787567623,2.1659430714014343e-11
gabriel_myocardium,phase_05,tepc_3,62.0,30.178938740639364,0.0025946122756792533,3.8806428739417485e-11
gabriel_myocardium,phase_05,tepc_4,62.0,66.61529245210649,0.15435454118087932,2.7330100569566695e-11
gabriel_myocardium,phase_05,tepc_5,62.0,71.83346258791212,0.33367425809791484,1.7904443796989205e-11
gabriel_myocardium,phase_05,tepc_6,62.0,13.947029603654114,0.08126372955053363,1.3475440115421278e-11
gabriel_myocardium,phase_05,tepc_7,62.0,2.0873070717796907,0.005038369399893661,7.182373209597262e-12
gabriel_myocardium,phase_05,ttrkg,62.0,229.05185632073164,-0.00045297459374182836,1.606614476834188e-10
gabriel_blood,phase_05,tepc_2,62.0,97.41612256911654,0.19059169055998382,2.3291511465939095e-11
gabriel_blood,phase_05,tepc_3,62.0,28.82676384035517,-0.053606500989349826,4.282803674481842e-11
gabriel_blood,phase_05,tepc_4,62.0,60.116674743354224,0.37239721124957725,1.8540463746903297e-11
gabriel_blood,phase_05,tepc_5,62.0,64.90412714659847,1.073621065291313,1.5976828144163364e-11
gabriel_blood,phase_05,tepc_6,62.0,11.144681262250646,0.11821554935155909,1.1791522774052863e-11
gabriel_blood,phase_05,tepc_7,62.0,1.5274644411723428,0.0021155151845135833,8.657827098179796e-12
gabriel_blood,phase_05,ttrkg,62.0,227.94928862533044,-0.042913630269026726,1.5158669759436232e-10
lf_mean_myocardium,phase_05,tepc_2,62.0,108.6096924564434,0.03820005101236745,3.0574642238237466e-11
lf_mean_myocardium,phase_05,tepc_3,62.0,34.54687653422014,-0.002216316513958816,4.6952760385599484e-11
lf_mean_myocardium,phase_05,tepc_4,62.0,70.75282499165533,0.1735433673842124,2.6737388093406958e-11
lf_mean_myocardium,phase_05,tepc_5,62.0,75.84578043666288,0.4476013531783991,1.938413622912126e-11
lf_mean_myocardium,phase_05,tepc_6,62.0,15.741898926878333,0.08430100262508766,1.046420104455881e-11
lf_mean_myocardium,phase_05,tepc_7,62.0,2.532766720969428,0.009446091591382988,1.1516108130538497e-11
lf_mean_myocardium,phase_05,ttrkg,62.0,235.18298323523356,-0.004786101202114423,1.3222844663882563e-10
lf_mean_blood,phase_05,tepc_2,62.0,102.56396405480882,0.20185819316159836,2.103095421607014e-11
lf_mean_blood,phase_05,tepc_3,62.0,33.38109417685472,-0.052288054184103316,4.108508061489676e-11
lf_mean_blood,phase_05,tepc_4,62.0,63.77784230280025,0.39211924397181264,3.5607033215695e-11
lf_mean_blood,phase_05,tepc_5,62.0,68.58016880719619,1.3973691960664638,2.3116100355195072e-11
lf_mean_blood,phase_05,tepc_6,62.0,13.02720639699542,0.12139836384729819,1.4539140101051164e-11
lf_mean_blood,phase_05,tepc_7,62.0,1.890710568164443,0.01645032719852857,7.529585717144091e-12
lf_mean_blood,phase_05,ttrkg,62.0,234.25296930728845,-0.040367055317631184,1.0462229131792594e-10
gabriel_myocardium,phase_06,tepc_2,72.0,103.03745735203424,-0.018136273666016223,2.6865923273677105e-11
gabriel_myocardium,phase_06,tepc_3,72.0,30.15982970248571,-0.01651442587797547,3.604135536241744e-11
gabriel_myocardium,phase_06,tepc_4,72.0,66.463355124399,0.002417213473393076,3.418176875683476e-11
gabriel_myocardium,phase_06,tepc_5,72.0,71.51608265366065,0.01629432384643792,1.5081994256770025e-11
gabriel_myocardium,phase_06,tepc_6,72.0,13.860405515191122,-0.005360358912458452,9.666622126969573e-12
gabriel_myocardium,phase_06,tepc_7,72.0,2.0756362685568748,-0.0066324338229222235,9.524386063276672e-12
gabriel_myocardium,phase_06,ttrkg,72.0,229.03839793603692,-0.013911359288471203,1.2984861080981952e-10
gabriel_blood,phase_06,tepc_2,72.0,97.09624924271942,-0.12928163583713115,2.191175825694111e-11
gabriel_blood,phase_06,tepc_3,72.0,28.762339687024813,-0.11803065431970694,5.070242870477541e-11
gabriel_blood,phase_06,tepc_4,72.0,59.64426521633669,-0.10001231576795533,2.7271583511415034e-11
gabriel_blood,phase_06,tepc_5,72.0,63.76324971138678,-0.0672563699203792,1.0887316091960401e-11
gabriel_blood,phase_06,tepc_6,72.0,10.913913883927174,-0.11255182897191318,8.581790735854944e-12
gabriel_blood,phase_06,tepc_7,72.0,1.4810532767423212,-0.044295649245507995,7.002823144442718e-12
gabriel_blood,phase_06,ttrkg,72.0,227.8862017327948,-0.10600052280466343,1.6123939050365882e-10
lf_mean_myocardium,phase_06,tepc_2,72.0,108.53665437143569,-0.034838033995342244,3.1435092973554184e-11
lf_mean_myocardium,phase_06,tepc_3,72.0,34.525671535991435,-0.023421314742662958,4.0037117763182794e-11
lf_mean_myocardium,phase_06,tepc_4,72.0,70.57071806987787,-0.008563554393248296,3.051135518321708e-11
lf_mean_myocardium,phase_06,tepc_5,72.0,75.42004178460616,0.021862701121676764,1.9745101886549846e-11
lf_mean_myocardium,phase_06,tepc_6,72.0,15.648561232247323,-0.00903669200592283,1.196163832599981e-11
lf_mean_myocardium,phase_06,tepc_7,72.0,2.514385378634371,-0.008935250743673961,8.869098586143354e-12
lf_mean_myocardium,phase_06,ttrkg,72.0,235.16635414372337,-0.021415192712311182,1.3051019003277423e-10
lf_mean_blood,phase_06,tepc_2,72.0,102.21574170048711,-0.14636416116010764,2.089962346967362e-11
lf_mean_blood,phase_06,tepc_3,72.0,33.31964290515292,-0.11373932588590208,4.086024116776788e-11
lf_mean_blood,phase_06,tepc_4,72.0,63.260799568236024,-0.12492349059241548,3.204868352525012e-11
lf_mean_blood,phase_06,tepc_5,72.0,67.12750871385987,-0.05529089726985603,1.66052383016096e-11
lf_mean_blood,phase_06,tepc_6,72.0,12.796135852155999,-0.10967218099212239,9.113339940689633e-12
lf_mean_blood,phase_06,tepc_7,72.0,1.82617700160493,-0.048083239360984464,7.930803116582414e-12
lf_mean_blood,phase_06,ttrkg,72.0,234.1887887573036,-0.10454760530248564,1.2068002265570368e-10
gabriel_myocardium,phase_07,tepc_2,82.0,103.03040307805341,-0.025190547646843697,2.6894550837246363e-11
gabriel_myocardium,phase_07,tepc_3,82.0,30.156699939610487,-0.01964418875319751,4.890978422241347e-11
gabriel_myocardium,phase_07,tepc_4,82.0,66.46052113096319,-0.00041677996242128756,2.6406881950176174e-11
gabriel_myocardium,phase_07,tepc_5,82.0,71.51103917550734,0.011250845693126621,1.7970949983071496e-11
gabriel_myocardium,phase_07,tepc_6,82.0,13.858172044827972,-0.007593829275608144,9.379034056184614e-12
gabriel_myocardium,phase_07,tepc_7,82.0,2.074123256519405,-0.008145445860392009,1.0113511543205098e-11
gabriel_myocardium,phase_07,ttrkg,82.0,229.0368819294317,-0.015427365893685874,1.2156800919315785e-10
gabriel_blood,phase_07,tepc_2,82.0,96.9863958827778,-0.2391349957787554,2.1700568009107926e-11
gabriel_blood,phase_07,tepc_3,82.0,28.761153192733154,-0.11921714861136579,4.082427869289566e-11
gabriel_blood,phase_07,tepc_4,82.0,59.6172781253261,-0.1269994067785447,2.6311113429984228e-11
gabriel_blood,phase_07,tepc_5,82.0,63.691190828048235,-0.13931525325892125,1.2642971857138371e-11
gabriel_blood,phase_07,tepc_6,82.0,10.862212857540008,-0.16425285535907896,1.0480210200719354e-11
gabriel_blood,phase_07,tepc_7,82.0,1.4762982873151205,-0.04905063867270876,1.0073891298106586e-11
gabriel_blood,phase_07,ttrkg,82.0,227.89013406823153,-0.10206818736793366,1.5745773040489218e-10
lf_mean_myocardium,phase_07,tepc_2,82.0,108.52514210992248,-0.04635029550854597,3.6771457803525664e-11
lf_mean_myocardium,phase_07,tepc_3,82.0,34.522627655758996,-0.02646519497510269,4.327589548174808e-11
lf_mean_myocardium,phase_07,tepc_4,82.0,70.56433914014278,-0.014942484128340539,3.9399593768519715e-11
lf_mean_myocardium,phase_07,tepc_5,82.0,75.41173384418856,0.013554760704082014,2.0233864278578092e-11
lf_mean_myocardium,phase_07,tepc_6,82.0,15.64491315759726,-0.012684766655985058,6.843231957098385e-12
lf_mean_myocardium,phase_07,tepc_7,82.0,2.5123292083559416,-0.010991421022103154,8.722858195746311e-12
lf_mean_myocardium,phase_07,ttrkg,82.0,235.16509349313782,-0.02267584329786132,1.5981129051833194e-10
lf_mean_blood,phase_07,tepc_2,82.0,102.09439039889995,-0.267715462747276,2.6326522971316075e-11
lf_mean_blood,phase_07,tepc_3,82.0,33.314028543434986,-0.11935368760383369,4.0270028206798446e-11
lf_mean_blood,phase_07,tepc_4,82.0,63.231335823771765,-0.1543872350566744,1.9695008213196647e-11
lf_mean_blood,phase_07,tepc_5,82.0,67.05179663260645,-0.13100297852327003,2.3870960687617904e-11
lf_mean_blood,phase_07,tepc_6,82.0,12.740496377442575,-0.16531165570554585,8.733313355664307e-12
lf_mean_blood,phase_07,tepc_7,82.0,1.820729918152301,-0.05353032281361347,8.980288141346475e-12
lf_mean_blood,phase_07,ttrkg,82.0,234.18904105045078,-0.10429531215530119,1.4462137410874935e-10
gabriel_myocardium,phase_08,tepc_2,92.0,103.01774370525123,-0.03784992044901969,3.623691683773339e-11
gabriel_myocardium,phase_08,tepc_3,92.0,30.152665488449326,-0.023678639914358257,5.351628160920564e-11
gabriel_myocardium,phase_08,tepc_4,92.0,66.40868028140481,-0.05225762952079549,2.7988962572585448e-11
gabriel_myocardium,phase_08,tepc_5,92.0,71.39301686728545,-0.10677146252875502,1.2878701585200909e-11
gabriel_myocardium,phase_08,tepc_6,92.0,13.834071286116998,-0.03169458798658198,9.516871845551437e-12
gabriel_myocardium,phase_08,tepc_7,92.0,2.0725150476316125,-0.00975365474818446,9.813971555844632e-12
gabriel_myocardium,phase_08,ttrkg,92.0,229.034778304143,-0.017530991182383104,1.4281245011112096e-10
gabriel_blood,phase_08,tepc_2,92.0,97.01293159787792,-0.21259928067863143,2.188609427697841e-11
gabriel_blood,phase_08,tepc_3,92.0,28.77465719921375,-0.10571314213077088,2.8593059270972326e-11
gabriel_blood,phase_08,tepc_4,92.0,59.47184602736316,-0.27243150474148337,3.2937608819799267e-11
gabriel_blood,phase_08,tepc_5,92.0,63.17995888643767,-0.650547194869489,1.3651600987293423e-11
gabriel_blood,phase_08,tepc_6,92.0,10.807896020773859,-0.2185696921252287,8.400522004144206e-12
gabriel_blood,phase_08,tepc_7,92.0,1.4709086836874152,-0.054440242300414,5.997203062240432e-12
gabriel_blood,phase_08,ttrkg,92.0,227.90703386520482,-0.0851683903946423,1.210431159583783e-10
lf_mean_myocardium,phase_08,tepc_2,92.0,108.50961789381091,-0.061874511620118255,2.3923781817158836e-11
