phase_id,phase_percent,baseline_phase,region,delta_authored_ml,delta_automatic_ml,disagreement_delta_ml,change_authored_percent_of_baseline,change_automatic_percent_of_baseline
phase_06,30,phase_00,LV,-71.63410750946021,-72.73541346533011,-1.101305955869904,-56.124121369349155,-49.87592576256755
phase_06,30,phase_00,RV,-35.086858261897106,-76.10645003009799,-41.01959176820088,-29.159577929623946,-38.73464565808389
phase_06,30,phase_00,LA,19.11987953045051,41.3702869608522,22.250407430401687,60.03934241955882,98.55561033458139
phase_06,30,phase_00,RA,2.508001983809386,54.970212972521516,52.46221098871213,5.437919910742437,88.59082181778845
phase_06,30,phase_00,blood_pool_sum,-85.09308425709742,-52.501363562054394,32.59172069504302,-26.10790774299835,-11.762627161335438
phase_07,35,phase_00,LV,-77.44994261821356,-79.65870707719287,-2.208764458979317,-60.68073060001052,-54.62334743471241
phase_07,35,phase_00,RV,-24.81657895174814,-84.73288058234868,-59.91630163060054,-20.62427369497513,-43.125097855018
phase_07,35,phase_00,LA,22.185526023148824,47.2347831250452,25.049257101896373,69.66594070535338,112.52648269797064
phase_07,35,phase_00,RA,-2.133255924676405,62.90252433166173,65.03578025633814,-4.625385044507507,101.37465408294797
phase_07,35,phase_00,blood_pool_sum,-82.21425147148929,-54.25428020283459,27.959971268654698,-25.224636188907198,-12.15535800662153
phase_08,40,phase_00,LV,-79.80524956598816,-84.04603258143034,-4.240783015442176,-62.52607407667093,-57.631812097525795
phase_08,40,phase_00,RV,-26.831258511445157,-89.09168064029396,-62.2604221288488,-22.298610142704412,-45.34352448866305
phase_08,40,phase_00,LA,20.87559278361234,48.23149577784366,27.35590299423132,65.55255023183926,114.90093139149087
phase_08,40,phase_00,RA,0.8770176428664413,66.83847659751066,65.96145895464423,1.9015741347110067,107.71789393980364
phase_08,40,phase_00,blood_pool_sum,-84.88389765095454,-58.06774084636993,26.816156804584608,-26.043725974739154,-13.009741830220971
phase_09,45,phase_00,LV,-76.87104385522454,-78.78168943432642,-1.9106455791018817,-60.227173131869094,-54.02196133179407
phase_09,45,phase_00,RV,-25.565511747537784,-88.7146972912557,-63.14918554371792,-21.246688049086597,-45.1516574860868
phase_09,45,phase_00,LA,24.4899346255785,48.19849575174091,23.708561126162408,76.90213573134749,114.82231608682325
phase_09,45,phase_00,RA,4.199393152194659,66.19078116993455,61.991388017739894,9.105241456256508,106.67405824927658
phase_09,45,phase_00,blood_pool_sum,-73.74722782498918,-53.10710980390661,20.64011802108257,-22.626819055464036,-11.898341106914508
phase_10,50,phase_00,LV,-73.31151561593754,-69.42478372800457,3.8867318879329673,-57.43834247751932,-47.60576993146193
phase_10,50,phase_00,RV,-24.46029053433365,-81.92508175123292,-57.46479121689927,-20.32817366243667,-41.69605875571117
phase_10,50,phase_00,LA,20.165812561164948,42.210948642757984,22.045136081593036,63.32373190951244,100.55830190941919
phase_10,50,phase_00,RA,12.084162100847855,65.42842463471328,53.344262533865425,26.201217589560738,105.44543299350079
phase_10,50,phase_00,blood_pool_sum,-65.52183148825839,-43.710492201766215,21.81133928649217,-20.103137012630423,-9.793083225355323
