request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,120,28.8531829792643,27.1382699950572,1.56105022461904,0.0742399890704609,0.0573430268109194,5.26073884895553e-10,0
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,130,26.6691733138106,24.9248961813267,1.62409407515178,0.0751103154247829,0.0631804462441224,4.36635390485564e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,140,26.0092336111969,24.0782521135843,1.82069342103538,0.0819927967735634,0.0761051471051985,6.38763333303397e-10,3.5527136788005e-15
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,50,47.3896699716334,46.7181722401463,0.452621965921207,0,0,1.45994611218405e-10,0
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,60,46.5102293074439,46.2754200627709,0.699925273996469,0,0,6.98077450336507e-11,2.8421709430404e-14
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,70,35.7679550477087,34.9573876235959,0.843470341673182,0,0,3.02016063296396e-11,2.1316282072803e-14
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,80,36.9014508775353,35.8022451867608,1.0870484584476,0,0,1.5541750387279e-10,7.105427357601e-15
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,90,31.2783128163273,29.9288715505309,1.2914123987649,0,0,4.16604698903669e-11,2.48689957516035e-14
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,110,28.9387579685704,27.4818373197075,1.70997930570877,0,0,2.38948512838887e-10,1.77635683940025e-14
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,120,26.3999727818371,24.3921953884519,1.98826532478492,0,0,2.17350280153566e-10,3.5527136788005e-15
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,130,24.1369029700132,22.0866138695474,2.0717706819509,0,0,2.07793017327834e-10,3.5527136788005e-15
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,140,23.1872387581303,20.90364816236,2.32968741620823,0,0,2.21301638974768e-10,1.06581410364015e-14
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,50,47.5957111617514,46.8751237715073,0.482379056875675,0.0193704033894412,0,8.34502881075398e-11,2.1316282072803e-14
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,60,46.8155472149801,46.507104702175,0.74563670470606,0.0285530353928078,0,1.70555347914322e-10,7.105427357601e-15
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,70,36.1246185094334,35.2261056147695,0.898717770620853,0.0333672225655215,0,1.5527495737246e-10,1.4210854715202e-14
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,80,37.3451039341453,36.1321217323074,1.15827249591387,0.0413270614496394,0,1.97008526709059e-10,0
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,90,31.7891007062331,30.3065391490894,1.37651069554098,0.0475237566963377,0,2.03286754467354e-10,2.1316282072803e-14
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,110,29.5641864723991,27.9325825287594,1.82814678118101,0.0576431627519558,0,2.15510897633556e-10,7.105427357601e-15
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,120,27.0915603182701,24.8770698253222,2.13102319344433,0.0631859479182807,0,2.47336682308584e-10,7.105427357601e-15
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,130,24.8304420752404,22.5596534982138,2.22879317598796,0.0627849549287426,0,1.29146531741473e-10,2.1316282072803e-14
100000_exhale_bones,literature,100000,exhale,bones,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,140,23.9392595110902,21.4043103019412,2.51425172346674,0.0673657127826111,0,3.25791164397513e-10,7.105427357601e-15
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,50,47.5995226896372,46.8701546098112,0.484760378803667,0.0193976795017345,0.00638005038453727,1.42697805975839e-10,7.105427357601e-15
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,60,46.821611488744,46.4991943026005,0.749440152155067,0.0285958081281475,0.010145414629584,1.20600932343694e-10,7.105427357601e-15
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,70,36.1321411501008,35.2162608136448,0.903461112545381,0.0334206647515531,0.012591187915003,1.74185799134826e-10,0
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,80,37.355142716909,36.1189292343455,1.1646096343404,0.041397440522015,0.0167951164927752,2.11946846541219e-10,1.4210854715202e-14
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,90,31.801384014138,30.2903741369276,1.38431214733419,0.0476102084185189,0.0205561963309973,2.14855805399895e-10,3.19744231092045e-14
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,110,29.5818495799687,27.9092358240669,1.83950671357484,0.0577674647055537,0.0295647823772224,3.38854828453469e-10,3.5527136788005e-15
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,120,27.1134406202655,24.8480350232989,2.145145883582,0.063338449330414,0.0366131111594942,2.14109932185169e-10,1.06581410364015e-14
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,130,24.854374526801,22.5276944802327,2.24441235343015,0.0629527397057658,0.0400580620833256,2.52095037608653e-10,3.5527136788005e-15
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,140,23.9680247675901,21.3659379337136,2.53307185084669,0.0675653775858514,0.0481364944659144,2.22536697470177e-10,1.4210854715202e-14
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,50,69.0650764328953,68.295599322215,0.418148611145594,0,0,9.32789466057901e-11,1.4210854715202e-14
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,60,68.4822353724883,68.4576014737031,0.64788747973353,0,0,1.88725152974662e-10,0
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,70,52.8954326149208,52.1365133990173,0.779912200029445,0,0,1.81455261285309e-10,0
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,80,54.8308657318098,53.780408067645,1.00324416274326,0,0,1.9574150397785e-10,1.4210854715202e-14
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,90,46.94283830219,45.6701455203088,1.19242486756005,0,0,1.96799951103395e-10,1.4210854715202e-14
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,110,44.2731530198694,43.0814166504155,1.57532635065138,0,0,2.27712089045556e-10,0
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,120,40.8096032799891,38.9544675226772,1.82504431989888,0,0,2.22867258258656e-10,0
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,130,37.656809934757,35.7887547728684,1.89158203612608,0,0,3.45114838769847e-10,1.4210854715202e-14
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4,16,4,4,140,36.6255510024915,34.5785015151292,2.11479502322387,0,0,2.93855845674626e-10,2.1316282072803e-14
equal_bones,equal_material_limit,50000,control,bones,4,16,4,4,50,69.0650764328953,68.0076945648872,0.418148611145594,0.287904757625258,0,9.81280539511899e-11,2.8421709430404e-14
equal_bones,equal_material_limit,50000,control,bones,4,16,4,4,60,68.4822353724883,68.0266297416798,0.64788747973353,0.430971732413856,0,1.39405367629047e-10,1.4210854715202e-14
equal_bones,equal_material_limit,50000,control,bones,4,16,4,4,70,52.8954326149208,51.6309253217755,0.779912200029444,0.505588076539084,0,8.00790320854159e-11,1.4210854715202e-14
equal_bones,equal_material_limit,50000,control,bones,4,16,4,4,80,54.8308657318098,53.1472211654352,1.00324416274326,0.63318690187187,0,1.54767454466748e-10,1.4210854715202e-14
