request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs,Z_experiment,residual_ohm,residual_pct
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,80,37.7669775537597,36.9929312892478,0.759534911511188,0.0,0.0,3.1540978886238703e-10,0.0,83.943,-46.176022446240296,-55.008782681391295
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,90,32.3061448175506,31.3454923392535,0.90196307602442,0.0,0.0,1.40738342757347e-10,2.1316282072803e-14,74.573,-42.26685518244939,-56.67849648324379
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,110,30.297003692249,29.3618601785573,1.19046534084571,0.0,0.0,4.07944348162844e-10,3.5527136788005e-15,65.581,-35.283996307751,-53.80216268088471
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,120,27.9769510493165,26.5748441447549,1.38078728640278,0.0,0.0,2.43128214777753e-10,3.19744231092045e-14,62.821,-34.8440489506835,-55.46560696372789
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,130,25.7760081460166,24.3630418883696,1.43207046987441,0.0,0.0,5.03368174341902e-10,3.5527136788005e-15,60.925,-35.1489918539834,-57.69223119242248
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,140,25.0250173553854,23.4709458805261,1.60114628267017,0.0,0.0,1.69891712075409e-10,0.0,50.103,-25.0779826446146,-50.052856405034824
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,50,47.9907230735787,47.3936345010798,0.357132587952751,0.0215327300535458,0.0,2.35686025787557e-10,0.0,85.689,-37.69827692642129,-43.99430139973777
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,60,47.4259212624954,47.3093246673345,0.551849796499549,0.0318634383325,0.0,2.50987029599936e-10,2.8421709430404e-14,101.102,-53.676078737504604,-53.09101574400566
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,70,36.8593352205379,36.1936135326847,0.663599174709764,0.0373767958323607,0.0,3.27885361341707e-10,0.0,88.678,-51.8186647794621,-58.4346340461694
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,80,38.2910746812725,37.3748125502172,0.853792324948603,0.046494995023766,0.0,4.55038219299464e-10,2.1316282072803e-14,83.943,-45.6519253187275,-54.38443386432162
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,90,32.9120283251452,31.7862770252712,1.0127812624,0.0537197304911795,0.0,3.8188694887588003e-10,2.1316282072803e-14,74.573,-41.66097167485479,-55.8660261419747
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,110,31.0502350155308,29.9039219324923,1.33655211057056,0.0664341320547911,0.0,4.05852908818299e-10,2.8421709430404e-14,65.581,-34.5307649844692,-52.653611540643176
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,120,28.8196405964974,27.1722946996466,1.55115624933954,0.0739495584432411,0.0,4.5840566207691e-10,7.105427357601e-15,62.821,-34.0013594035026,-54.12419318938348
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,130,26.6322275429205,24.9627068997309,1.61290712309441,0.0747913876550075,0.0,6.186427267372431e-10,1.0658141036401501e-14,60.925,-34.292772457079494,-56.2868649275002
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,140,25.9647194974517,24.1238248812295,1.80706114580343,0.0816132233724555,0.0,6.46328145681688e-10,1.4210854715202e-14,50.103,-24.1382805025483,-48.177315734683155
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,50,47.9964447977857,47.3879799810514,0.358683279139306,0.0215849979972588,0.0097845222492695,2.71352360837216e-10,1.4210854715202e-14,85.689,-37.692555202214294,-43.987624085021764
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,60,47.4350451643654,47.3003053992487,0.554343011137039,0.031945213929292,0.015594573366577,2.56782237937687e-10,1.4210854715202e-14,101.102,-53.666954835634606,-53.081991291601156
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,70,36.8706903098791,36.1823359436222,0.666744236500574,0.0374790115794586,0.0194170008908575,2.96026099280549e-10,1.4210854715202e-14,88.678,-51.807309690120896,-58.42182919114199
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,80,38.3062433943989,37.359654314071,0.858014120950227,0.0466293265209027,0.0259264905837849,4.3674814766619603e-10,2.8421709430404e-14,83.943,-45.6367566056011,-54.366363610546564
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,90,32.9306572147448,31.7676238897557,1.01804211470633,0.053884741731154,0.0318499619712254,3.36987299404542e-10,1.4210854715202e-14,74.573,-41.642342785255195,-55.84104539881083
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,110,31.077236751985,29.8766990189296,1.34442025881152,0.0666710594460186,0.046174502226689,3.99791954891437e-10,1.4210854715202e-14,65.581,-34.503763248015005,-52.61243843188577
