point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct,frequency_hz
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,120,26.4090118363688,24.3704179171386,2.01907660766832,2.26128262678176e-10,7.105427357601e-15,10.7301505,57.685,exhale,-31.2759881636312,-54.21858050382456,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,130,24.1474308256964,22.061716190815,2.10718543727642,3.2234419411286603e-10,2.8421709430404e-14,12.2124721,55.784,exhale,-31.6365691743036,-56.71262221121397,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,140,23.1998870382757,20.8739105103292,2.37209954278673,2.64019941081573e-10,7.105427357601e-15,13.7042716,46.828,exhale,-23.6281129617243,-50.45723277040296,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,50,47.3896699716332,46.7181722401618,0.452621965921117,1.70151435805105e-10,7.105427357601e-15,1.4543857,83.134,exhale,-35.744330028366804,-42.99604256786249,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,60,46.5102293074436,46.2754200623531,0.69992527399632,8.089957299530489e-11,3.5527136788004997e-14,2.9172964,97.44,exhale,-50.9297706925564,-52.26782706543144,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,70,35.7679550477083,34.9573876235224,0.843470341673001,6.510886088628729e-11,7.105427357601e-15,4.5225197,85.633,exhale,-49.8650449522917,-58.23110827869128,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,80,36.9014508775348,35.8022451867398,1.08704845844735,1.93836431450469e-10,2.8421709430404e-14,5.9755766,79.63,exhale,-42.7285491224652,-53.6588586242185,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,90,31.2783128163266,29.9288715503758,1.29141239876454,4.86763103102607e-11,0.0,7.4505233,70.327,exhale,-39.048687183673394,-55.524460283637,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,110,28.9387579685695,27.4818373189949,1.70997930570833,2.06288526372293e-10,0.0,8.895483,61.474,exhale,-32.5352420314305,-52.9252074558846,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,120,26.3999727818359,24.3921953879456,1.98826532478435,1.44764616504178e-10,1.06581410364015e-14,10.3926362,57.685,exhale,-31.285027218164103,-54.23425018317432,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,130,24.136902970012,22.0866138688019,2.07177068195033,2.95662790475479e-10,7.105427357601e-15,11.8493668,55.784,exhale,-31.647097029988,-56.73149474757636,100000
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,140,23.1872387581288,20.9036481610745,2.32968741620748,2.15572670506075e-10,2.1316282072803e-14,13.4100044,46.828,exhale,-23.640761241871203,-50.48424285015633,100000
