subject,chamber_key,chamber_label,phase_percent,cardiac_phase,modeled_volume_ml,change_from_0_ml,change_from_0_percent,change_from_previous_1pct_ml,measured_count,measured_mean_ml,measured_min_ml,measured_max_ml,model,model_residual_rmse_ml,cycle_offsets_ml,phase_kind
nix,heart_atrium_left,Левое предсердие,72.0,Раннее и среднее наполнение,54.62213573336216,17.203682541661962,45.97646635344595,-0.609695671627712,1,57.715077972412104,57.715077972412104,57.715077972412104,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",measured_phase_reference
nix,heart_atrium_left,Левое предсердие,73.0,Раннее и среднее наполнение,54.05450728983283,16.636054098132632,44.45949171897539,-0.5676284435293297,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,74.0,Раннее и среднее наполнение,53.52200242530515,16.10354923360496,43.036384083286734,-0.5325048645276738,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,75.0,Раннее и среднее наполнение,53.01724911564727,15.598795923947073,41.68744187268289,-0.504753309657886,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,76.0,Раннее и среднее наполнение,52.53262545968065,15.114172267980457,40.39229572250982,-0.4846236559666153,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,77.0,Раннее и среднее наполнение,52.06044137679101,14.641988185090817,39.130394060058485,-0.4721840828896404,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,78.0,Раннее и среднее наполнение,51.593120395986276,14.17466720428608,37.88148893185721,-0.46732098080473605,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,79.0,Раннее и среднее наполнение,51.123378430666726,13.704925238966531,36.62611377534555,-0.4697419653195496,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,80.0,Поздняя диастола,50.644396485734866,13.225943294034671,35.34604497485835,-0.47898194493185997,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,81.0,Поздняя диастола,50.14998434511112,12.731531153410927,34.02473931294122,-0.4944121406237443,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,82.0,Поздняя диастола,49.63473243661568,12.216279244915484,32.64773982593482,-0.5152519084954434,1,55.06517059326171,55.06517059326171,55.06517059326171,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",measured_phase_reference
nix,heart_atrium_left,Левое предсердие,83.0,Поздняя диастола,49.09414926514998,11.675696073449785,31.20304309115476,-0.5405831714656983,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,84.0,Поздняя диастола,48.52478204107701,11.106328849376816,29.681421603606843,-0.5693672240729697,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,85.0,Поздняя диастола,47.92431840490104,10.505865213200842,28.076695632974886,-0.6004636361759736,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,86.0,Поздняя диастола,47.29166745742667,9.873214265726475,26.385949774953435,-0.6326509474743673,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,87.0,Поздняя диастола,46.62701864163374,9.208565449933545,24.60969031177403,-0.6646488157929298,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,88.0,Поздняя диастола,45.93187738318269,8.513424191482493,22.75194046067853,-0.6951412584510521,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,89.0,Поздняя диастола,45.209076775030894,7.790623583330699,20.820271600801345,-0.7228006081517933,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,90.0,Поздняя диастола,44.46276498207591,7.0443117903757155,18.825769612353238,-0.7463117929549838,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,91.0,Поздняя диастола,43.698368437840166,6.279915246139971,16.78293652056393,-0.7643965442357441,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,92.0,Поздняя диастола,42.92253130067435,5.504078108974156,14.709528693706181,-0.7758371371658157,1,38.28352294921874,38.28352294921874,38.28352294921874,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",measured_phase_reference
nix,heart_atrium_left,Левое предсердие,93.0,Поздняя диастола,42.143032025492275,4.72457883379208,12.626333882876915,-0.7794992751820757,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
