k,subset_id,sizes_mm,sizes_mm_json,subset_indices_json,worst_sigma_logrho1_unit_ohm_error,worst_sigma_logrho2_unit_ohm_error,worst_max_unit_logrho_error,worst_kappa,g1,g2,g1_max,g2_max,rank2_min,g1_relative_full9,g2_relative_full9,attenuation_relative_full9,uncertainty_inflation_relative_full9,global_rank,rank_within_count
4,60-90-120-130,60|90|120|130,"[60, 90, 120, 130]","[1, 4, 6, 7]",0.052442088970322084,4.74162779554768,4.74162779554768,165.6530457136968,34.22869166689571,0.3857653933110437,239.98896090935506,12.622364310166038,2,0.646217125259299,0.7091399531393142,0.646217125259299,1.5205320783721812,260,47
3,60-120-130,60|120|130,"[60, 120, 130]","[1, 6, 7]",0.05438279717915793,4.742511243040642,4.742511243040642,146.2310286608816,30.21497994187754,0.353056680014702,212.5189526340861,11.586676400260673,2,0.5704406603624735,0.6490125912338548,0.5704406603624735,1.5208153798691624,261,13
5,70-80-110-130-140,70|80|110|130|140,"[70, 80, 110, 130, 140]","[2, 3, 5, 7, 8]",0.05971587065979671,4.7472609087493405,4.7472609087493405,170.90575706794633,35.12098353379181,0.45260923160942956,243.00841478658128,14.979874340615355,2,0.6630630593875824,0.8320168031120881,0.6630630593875824,1.5223384895232777,262,81
5,70-80-90-130-140,70|80|90|130|140,"[70, 80, 90, 130, 140]","[2, 3, 4, 7, 8]",0.057061230240568486,4.799122350466281,4.799122350466281,174.57765843266705,35.54510387449083,0.43229892946144105,245.7536107894908,14.3035032908571,2,0.67107019649927,0.7946810364435192,0.67107019649927,1.5389692731194264,263,82
4,70-80-130-140,70|80|130|140,"[70, 80, 130, 140]","[2, 3, 7, 8]",0.05989085833669152,4.816037771290342,4.816037771290342,156.31811369139183,31.698518721053652,0.40338126510794653,219.00785622075185,13.398402726346308,2,0.5984489808212152,0.7415226362860406,0.5984489808212152,1.5443936634535436,264,48
6,50-70-80-90-110-120,50|70|80|90|110|120,"[50, 70, 80, 90, 110, 120]","[0, 2, 3, 4, 5, 6]",0.042368442989789326,4.816438613304866,4.816438613304866,215.1655464435735,43.94497260208639,0.3917780568659081,307.63149266047975,12.723976316999092,2,0.8296546692722132,0.7201928366417518,0.7201928366417518,1.544522204361376,265,75
5,50-70-90-110-120,50|70|90|110|120,"[50, 70, 90, 110, 120]","[0, 2, 4, 5, 6]",0.04424781824746744,4.825132612858553,4.825132612858553,194.837294047885,39.71011743237902,0.3692772124335576,277.8445512765033,12.012299470389166,2,0.7497031490595808,0.6788302674662259,0.6788302674662259,1.5473101720764182,266,83
6,50-60-70-80-90-130,50|60|70|80|90|130,"[50, 60, 70, 80, 90, 130]","[0, 1, 2, 3, 4, 7]",0.03548047763506092,4.846738914693362,4.846738914693362,231.74592300316218,47.1964699107315,0.34932269925630394,333.5634600588751,11.404133558942402,2,0.8910409841226036,0.6421485360698954,0.6421485360698954,1.5542388211504066,267,76
5,50-60-80-90-130,50|60|80|90|130,"[50, 60, 80, 90, 130]","[0, 1, 3, 4, 7]",0.03682263827480118,4.850586673226007,4.850586673226007,214.07634929405216,43.55703992917491,0.33444237922570885,307.82186415082066,10.926003655624802,2,0.8223307335774854,0.6147945286027562,0.6147945286027562,1.5554727097074568,268,84
5,50-60-70-90-130,50|60|70|90|130,"[50, 60, 70, 90, 130]","[0, 1, 2, 4, 7]",0.036051534477699154,4.869352016566137,4.869352016566137,213.42452538510446,43.280937854092215,0.3238857236692939,306.3087352394238,10.604245728997153,2,0.8171180923531458,0.5953885726606484,0.5953885726606484,1.5614903280741128,269,85
5,60-70-80-90-140,60|70|80|90|140,"[60, 70, 80, 90, 140]","[1, 2, 3, 4, 8]",0.043048437011938605,4.870596786026536,4.870596786026536,201.24243752452676,40.655151072102505,0.3650435038012629,286.78766772934995,12.066868408328116,2,0.7675448161580074,0.6710475788343033,0.6710475788343033,1.5618894972996038,270,86
4,50-60-90-130,50|60|90|130,"[50, 60, 90, 130]","[0, 1, 4, 7]",0.037743761266961814,4.87061961065322,4.87061961065322,193.76542293575736,39.28038361430482,0.3077780349590024,278.0553172424742,10.088276420354699,2,0.7415900328690723,0.565778333340947,0.565778333340947,1.5618968166377185,271,49
4,60-70-90-140,60|70|90|140,"[60, 70, 90, 140]","[1, 2, 4, 8]",0.04537976236378078,4.876218606416534,4.876218606416534,178.63132673974098,36.035733906647245,0.34078200282376225,254.57341919211973,11.313932933982999,2,0.6803329966095248,0.626448452099257,0.626448452099257,1.5636922871031107,272,50
5,50-70-80-110-120,50|70|80|110|120,"[50, 70, 80, 110, 120]","[0, 2, 3, 5, 6]",0.042452508515989196,4.889729462761244,4.889729462761244,203.13974692293277,40.89623817246239,0.35961663819713097,286.7171762326976,11.697288683338462,2,0.7720963957055932,0.6610715486176569,0.6610715486176569,1.568024911122588,273,87
4,50-70-110-120,50|70|110|120,"[50, 70, 110, 120]","[0, 2, 5, 6]",0.0445347217652744,4.89173875447493,4.89173875447493,180.44778434598024,36.30750757286953,0.3349622967578265,254.4940049281681,10.91889773704819,2,0.6854639200762024,0.6157502760615878,0.6157502760615878,1.5686692452283426,274,51
5,50-80-90-110-120,50|80|90|110|120,"[50, 80, 90, 110, 120]","[0, 3, 4, 5, 6]",0.045740729240197314,4.905823167553474,4.905823167553474,199.71328624967396,40.010868177974814,0.3785702083472357,279.51181270091666,12.297270712157394,2,0.7553811423679394,0.6959132790608817,0.6959132790608817,1.573185795833829,275,88
6,70-80-90-110-120-140,70|80|90|110|120|140,"[70, 80, 90, 110, 120, 140]","[2, 3, 4, 5, 6, 8]",0.05840774933204944,4.911099976638275,4.911099976638275,196.17682792992946,39.00379910770938,0.47472545535308236,270.02528637379027,15.613019263219288,2,0.7363682836277413,0.8726723366076676,0.7363682836277413,1.5748779483668514,276,77
4,50-90-110-120,50|90|110|120,"[50, 90, 110, 120]","[0, 4, 5, 6]",0.048859719273792006,4.933060163268909,4.933060163268909,177.3217586860939,35.30725678738701,0.3552337490007692,246.3479507462544,11.559352586492121,2,0.6665797864545245,0.6530146262155566,0.6530146262155566,1.5819200802377402,277,52
6,70-90-110-120-130-140,70|90|110|120|130|140,"[70, 90, 110, 120, 130, 140]","[2, 4, 5, 6, 7, 8]",0.06829980844898714,4.942311509339587,4.942311509339587,185.55267294178213,36.494250855515524,0.5185399429243958,250.5355268386412,17.101867792987015,2,0.6889895210091089,0.9532150815036359,0.6889895210091089,1.5848867762913184,278,78
5,70-80-110-120-140,70|80|110|120|140,"[70, 80, 110, 120, 140]","[2, 3, 5, 6, 8]",0.06092968470957371,4.942475851163181,4.942475851163181,179.96828645829183,35.53361822971589,0.44855137786743093,245.93344455682404,14.788284543497966,2,0.6708533544294522,0.8245573827951214,0.6708533544294522,1.58493947697247,279,89
5,70-90-120-130-140,70|90|120|130|140,"[70, 90, 120, 130, 140]","[2, 4, 6, 7, 8]",0.06899204431386081,4.946121314045882,4.946121314045882,168.9642713765458,33.21359586424525,0.47617748887368117,227.33103975840584,15.735134011680499,2,0.6270527266361993,0.8753415625170117,0.6270527266361993,1.5861084939203771,280,90
4,60-80-90-140,60|80|90|140,"[60, 80, 90, 140]","[1, 3, 4, 8]",0.04698692019662096,4.953656408576602,4.953656408576602,183.26710796928595,36.3668841675037,0.35083060937430377,256.39205238165545,11.616049536586756,2,0.6865849144941482,0.644920478107616,0.644920478107616,1.588524827180083,281,53
4,50-80-110-120,50|80|110|120,"[50, 80, 110, 120]","[0, 3, 5, 6]",0.04605047532848193,4.957069049228325,4.957069049228325,184.64557794993863,36.636201386278074,0.345180363396658,256.3132015907282,11.231645302175826,2,0.6916694617094753,0.6345338150287363,0.6345338150287363,1.5896191833393272,282,54
4,60-70-80-140,60|70|80|140,"[60, 70, 80, 140]","[1, 2, 3, 8]",0.0432226208392073,4.959297551179636,4.959297551179636,188.02142532577346,37.33875986633894,0.33028902539152294,264.2286324984047,10.978902604983405,2,0.7049333435349839,0.6071595535779986,0.6071595535779986,1.5903338131773894,283,55
3,60-70-140,60|70|140,"[60, 70, 140]","[1, 2, 8]",0.04595335802018607,4.959378188638741,4.959378188638741,162.39336744760578,32.24772546787342,0.30325971390073253,228.8607210281041,10.145544226923928,2,0.6088176740963407,0.557472450959874,0.557472450959874,1.5903596717745998,284,14
