request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,37.1307842570329,2.38562229365759e-10,7.105427357601e-15
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,38.6380238700701,3.77317122103086e-10,0
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,33.3138807220817,2.70868712336779e-10,0
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,31.5679302802567,4.79124123582969e-10,0
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,29.4210165794238,5.13020434762542e-10,7.105427357601e-15
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,27.2623212449264,5.47294585777147e-10,7.105427357601e-15
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,26.6853695490576,5.24556943281167e-10,1.4210854715202e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,80.6962333110385,2.2101146572796e-10,2.8421709430404e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,75.2181054269441,1.73452395805156e-10,1.4210854715202e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,52.1383989884087,2.55518419501322e-10,0
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,54.7269778168746,2.7613236878834e-10,2.8421709430404e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,43.0565729200388,1.97187614693938e-10,7.105427357601e-15
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,42.4902715687247,2.91375582755478e-10,0
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,37.5923978513847,2.08393887684499e-10,1.4210854715202e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,34.8888454029104,3.32289042493129e-10,1.4210854715202e-14
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,32.3271830918819,3.59130539380869e-10,7.105427357601e-15
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,47.7240320578874,1.03303845166375e-10,7.105427357601e-15
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,47.0076312418959,2.48358650818553e-10,1.4210854715202e-14
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,70,36.34755568945,3.47829943708719e-10,7.105427357601e-15
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,80,37.6300754457484,1.90409687769911e-10,1.4210854715202e-14
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,90,32.1134573794435,3.3151043114099e-10,7.105427357601e-15
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,110,29.9725202973666,2.02124790232025e-10,1.06581410364015e-14
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,120,27.5636700403764,4.45288606871825e-10,0
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,130,25.3195031183351,2.39894813251228e-10,0
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,140,24.4976793145291,6.18393483498264e-10,0
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,80.0832756847369,1.40087775027269e-10,2.8421709430404e-14
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,74.2262701171807,1.51921215300529e-10,2.8421709430404e-14
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,70,50.9649879929442,1.67591987784788e-10,0
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,80,53.2416223455108,1.68315463607873e-10,2.1316282072803e-14
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,90,41.271716644053,1.99900126586029e-10,0
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,110,40.0955761140317,3.88526408528076e-10,1.4210854715202e-14
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,120,34.8248452450005,3.13988539985546e-10,7.105427357601e-15
