request_id_fine,kind_fine,quadrature_points_fine,frequency_hz,state,model,rho1_fine,rho2_fine,rho_bone_fine,rho_heart_fine,rho_fat_fine,L_mm,Z_fine,relative_residual_fine,reciprocity_abs_fine,request_id_coarse,kind_coarse,quadrature_points_coarse,rho1_coarse,rho2_coarse,rho_bone_coarse,rho_heart_coarse,rho_fat_coarse,Z_coarse,relative_residual_coarse,reciprocity_abs_coarse,difference_ohm,difference_pct,within_numeric_tolerance
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,56.1305295094287,1.2509531133371901e-10,2.1316282072803e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,56.1520002796724,3.92090876243151e-10,7.105427357601e-15,-0.021470770243702475,-0.038251501333326735,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,44.2112611184698,1.68030446390896e-10,1.4210854715202e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,44.2207443270525,2.46962967163197e-10,1.4210854715202e-14,-0.009483208582700797,-0.02144975814485208,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,43.6522084962343,1.91629501945478e-10,0.0,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,43.6476072216299,5.12266051682029e-10,3.5527136788004997e-14,0.004601274604404182,0.010540760165207025,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,38.6500384985992,2.45533159980932e-10,1.4210854715202e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,38.6453836412385,5.09869507900431e-10,0.0,0.004654857360698372,0.012043603425820854,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,35.876765768155,3.25243004033069e-10,7.105427357601e-15,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,35.8732076732257,5.912880057248701e-10,1.4210854715202e-14,0.003558094929303479,0.009917546504322085,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,33.2775507578497,1.75920332916199e-10,7.105427357601e-15,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,33.2727344354678,6.52246111068736e-10,2.8421709430404e-14,0.004816322381905991,0.014473187696272654,True
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,49.0809526617027,1.27146942355949e-10,2.1316282072803e-14,q1024_50000_exhale_ts_without_fat,literature,1024,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,49.0808894752766,1.60264019494242e-10,0.0,6.318642610381175e-05,0.0001287392006005527,True
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,48.3661298047045,1.42892062018574e-10,7.105427357601e-15,q1024_50000_exhale_ts_without_fat,literature,1024,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,48.3660457139558,2.2631613373617201e-10,1.4210854715202e-14,8.409074870030508e-05,0.0001738628851219882,True
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,37.3913165413394,1.87761763970703e-10,1.4210854715202e-14,q1024_50000_exhale_ts_without_fat,literature,1024,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,37.3912358359386,1.89382278086742e-10,1.4210854715202e-14,8.07054007978536e-05,0.0002158399550029929,True
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,38.7112083972919,1.40751509541335e-10,7.105427357601e-15,q1024_50000_exhale_ts_without_fat,literature,1024,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,38.7111267522161,3.31006133959998e-10,7.105427357601e-15,8.164507579522251e-05,0.00021090810433325072,True
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,33.0381487424349,2.23436965321758e-10,0.0,q1024_50000_exhale_ts_without_fat,literature,1024,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,33.038083558789,2.18799231900848e-10,1.4210854715202e-14,6.518364590135661e-05,0.0001972981186371177,True
