request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs,Z_previous_four_tissue,Z_experiment,residual_ohm,residual_pct
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,120,28.3667638483598,1.9855576021812002e-10,1.0658141036401501e-14,27.9040687679863,57.685,-29.318236151640203,-50.82471379325683
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,130,26.0608920022345,4.707441806030941e-10,0.0,25.5829110771606,55.784,-29.7231079977655,-53.28249676926269
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,140,25.2191300283148,2.65904485582985e-10,2.1316282072803e-14,24.6749210583929,46.828,-21.608869971685202,-46.14519085095499
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,81.942273757631,3.74976618281304e-11,1.4210854715202e-14,48.9529676082627,83.134,-1.1917262423690005,-1.4335004238566658
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,76.084114022643,1.26598921742107e-10,4.2632564145606e-14,48.1749191740566,97.44,-21.35588597735699,-21.916960157386075
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,52.2888766266843,1.93751238184191e-10,2.8421709430404e-14,37.1698625588266,85.633,-33.344123373315696,-38.93840385519099
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,54.5961805051385,9.9281407108524e-11,7.105427357601e-15,38.4286261504777,79.63,-25.033819494861497,-31.43767360901858
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,42.3676591768074,1.05319588572761e-10,7.105427357601e-15,32.7173528152934,70.327,-27.959340823192598,-39.7561972260904
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,110,41.1792786317837,1.6453033724506601e-10,3.5527136788004997e-14,30.4478216666687,61.474,-20.294721368216294,-33.01350386865389
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,120,35.7918992760472,2.95328407938627e-10,7.105427357601e-15,27.9040687679863,57.685,-21.893100723952806,-37.95284861567618
