state,L_mm,rho1,rho2,branch_index,residual_ohm,within_literature_bounds
inhale,50,5.0713509158031025,2.1627185237270199,0,-2.5579538487363607e-13,False
inhale,50,5.0707511596636001,2.187761623949553,0,-2.5579538487363607e-13,False
inhale,50,5.070150286108408,2.2130947096056377,0,-1.9895196601282805e-13,False
inhale,50,5.0695483263134156,2.2387211385683399,0,-2.1316282072803006e-13,False
inhale,50,5.0689453114388705,2.2646443075930596,0,-2.4158453015843406e-13,False
inhale,50,5.0683412726291266,2.2908676527677736,0,-1.7053025658242404e-13,False
inhale,50,5.0677362410123736,2.3173946499684783,0,-1.7053025658242404e-13,False
inhale,50,5.0671302477004074,2.3442288153199229,0,-1.8474111129762605e-13,False
inhale,50,5.066523323788358,2.3713737056616551,0,-1.8474111129762605e-13,False
inhale,50,5.0659155003544427,2.3988329190194912,0,-1.9895196601282805e-13,False
inhale,50,5.065306808459729,2.4266100950824154,0,-1.8474111129762605e-13,False
inhale,50,5.0646972791478788,2.454708915685031,0,-1.8474111129762605e-13,False
inhale,50,5.0640869434449165,2.4831331052955705,0,-1.2789769243681803e-13,False
inhale,50,5.0634758323589706,2.511886431509581,0,-1.5631940186722204e-13,False
inhale,50,5.0628639768800641,2.5409727055493052,0,-1.7053025658242404e-13,False
inhale,50,5.0622514079798515,2.5703957827688635,0,-1.2789769243681803e-13,False
inhale,50,5.0616381566114024,2.6001595631652723,0,-1.1368683772161603e-13,False
inhale,50,5.061024253708962,2.6302679918953813,0,-1.1368683772161603e-13,False
inhale,50,5.0604097301877298,2.6607250597988097,0,-9.9475983006414026e-14,False
inhale,50,5.0597946169436296,2.6915348039269151,0,-1.1368683772161603e-13,False
inhale,50,5.0591789448530875,2.7227013080779128,0,-7.1054273576010019e-14,False
inhale,50,5.0585627447728072,2.7542287033381663,0,-8.5265128291212022e-14,False
inhale,50,5.0579460475395521,2.7861211686297707,0,-7.1054273576010019e-14,False
inhale,50,5.0573288839699382,2.8183829312644537,0,-2.8421709430404007e-14,False
inhale,50,5.0567112848601985,2.85101826750391,0,-8.5265128291212022e-14,False
inhale,50,5.0560932809860004,2.8840315031266055,0,-2.8421709430404007e-14,False
inhale,50,5.0554749031022101,2.9174270140011673,0,-5.6843418860808015e-14,False
inhale,50,5.0548561819427,2.9512092266663856,0,-4.2632564145606011e-14,False
inhale,50,5.0542371482201442,2.9853826189179604,0,-4.2632564145606011e-14,False
inhale,50,5.0536178326258092,3.0199517204020161,0,-2.8421709430404007e-14,False
inhale,50,5.05299826582936,3.0549211132155141,0,-5.6843418860808015e-14,False
inhale,50,5.0523784784786621,3.0902954325135905,0,-4.2632564145606011e-14,False
inhale,50,5.0517585011995862,3.126079367123956,0,1.4210854715202004e-14,False
inhale,50,5.0511383645958112,3.1622776601683795,0,0,False
inhale,50,5.050518099490489,3.1988951096913989,0,1.4210854715202004e-14,False
inhale,50,5.0498977376478704,3.2359365692962827,0,0,False
inhale,50,5.0492773110411138,3.273406948788383,0,-2.8421709430404007e-14,False
inhale,50,5.0486568516093486,3.3113112148259112,0,-2.8421709430404007e-14,False
inhale,50,5.0480363912574804,3.3496543915782775,0,-2.8421709430404007e-14,False
inhale,50,5.0474159618560241,3.3884415613920256,0,-1.4210854715202004e-14,False
inhale,50,5.0467955952409405,3.4276778654645046,0,-1.4210854715202004e-14,False
inhale,50,5.0461753232134736,3.4673685045253166,0,-2.8421709430404007e-14,False
inhale,50,5.0455551775399901,3.5075187395256795,0,-1.4210854715202004e-14,False
inhale,50,5.0449351899518318,3.548133892335755,0,2.8421709430404007e-14,False
inhale,50,5.0443153921451636,3.5892193464500517,0,-1.4210854715202004e-14,False
inhale,50,5.043695815780846,3.630780547701014,0,-4.2632564145606011e-14,False
inhale,50,5.043076492484289,3.6728230049808461,0,0,False
inhale,50,5.0424574538453157,3.715352290971726,0,0,False
inhale,50,5.0418387314180571,3.7583740428844412,0,0,False
inhale,50,5.0412203567208156,3.8018939632056128,0,-2.8421709430404007e-14,False
inhale,50,5.0406023612359609,3.8459178204535354,0,1.4210854715202004e-14,False
inhale,50,5.0399847764098098,3.8904514499428067,0,-1.4210854715202004e-14,False
